Gene Name	Accession-1	Left-End-Position	Right-End-Position	Regulation - transcription units of gene	Object ID	Transcription units - promoter of operon	Transcription units - binding sites	Transcription units - regulators of operon	Regulation - direct regulators of gene	Regulation - transcription factor regulators of gene
gspG	b3328	3461023	3461460	gspCDEFGHIJKLMO // gspCDEFGHIJKLMO // gspCDEFGHIJKLMO	G7706	gspCp1 // gspCp2 // gspCp3	 // SlyA DNA-binding-site 49.5 bases upstream of gspCp2 // H-NS DNA-binding-site regulating gspCp2 // DNA-binding transcriptional dual regulator Fur DNA-binding-site 156 bases downstream of gspCp3 // H-NS DNA-binding-site regulating gspCp3	 // DNA-binding transcriptional dual regulator SlyA // DNA-binding transcriptional dual regulator H-NS // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator SlyA // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator SlyA // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS
ydgK	b1626	1705250	1705690	ydgK-rsxABCDGE-nth	G6870	ydgKp				
csgB	b1041	1103951	1104406	csgBAC // csgBAC	G6547	csgBp2 // csgBp	CsgD DNA-binding-site 38 bases upstream of csgBp2 // CpxR response regulator - phosphorylated DNA-binding-site 8 bases downstream of csgBp2 // CsgD DNA-binding-site 27.5 bases upstream of csgBp2 // CsgD DNA-binding-site 57.5 bases upstream of csgBp2 // CsgD DNA-binding-site 80.5 bases upstream of csgBp2 // CpxR response regulator - phosphorylated DNA-binding-site 464 bases upstream of csgBp2 // CpxR response regulator - phosphorylated DNA-binding-site 255 bases upstream of csgBp2 // FliZ DNA-binding-site regulating csgBp2 // Phosphorylated DNA-binding transcriptional dual regulator BtsR DNA-binding-site 62 bases downstream of csgBp2	DNA-binding transcriptional dual regulator CsgD // Phosphorylated DNA-binding transcriptional dual regulator CpxR // DNA-binding transcriptional regulator FliZ // Phosphorylated DNA-binding transcriptional dual regulator BtsR	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma S (sigma 38) factor // DNA-binding transcriptional dual regulator CsgD // Phosphorylated DNA-binding transcriptional dual regulator BtsR // DNA-binding transcriptional regulator FliZ // Phosphorylated DNA-binding transcriptional dual regulator CpxR	Phosphorylated DNA-binding transcriptional dual regulator BtsR // DNA-binding transcriptional regulator FliZ // Phosphorylated DNA-binding transcriptional dual regulator CpxR // DNA-binding transcriptional dual regulator CsgD
tdcG	b4471	3258285	3259649	tdcBCDEFG // tdcABCDEFG	G7624	tdcBp // tdcAp	 // TdcR DNA-binding-site 195 bases upstream of tdcAp // TdcA DNA-binding-site 177 bases upstream of tdcAp // IHF DNA-binding-site 103 bases upstream of tdcAp // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 43.5 bases upstream of tdcAp // Fnr DNA-binding-site 105.5 bases upstream of tdcAp // Fnr DNA-binding-site 148.5 bases upstream of tdcAp	 // DNA-binding transcriptional activator TdcR // DNA-binding transcriptional activator TdcA // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional activator TdcR // DNA-binding transcriptional activator TdcA // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR	DNA-binding transcriptional activator TdcR // DNA-binding transcriptional activator TdcA // DNA-binding transcriptional dual regulator IHF // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR
ycjW	b1320	1382963	1383961	ycjW	G6658					
yceM	b1068	1126806	1127729	mviM	G6560					
insI3	b4284	4507466	4508617	insMI3	G7905					
mdtF	b3514	3660414	3663527	gadE-mdtEF // mdtEF // mdtEF // gadEF-mdtEF // mdtEF	EG12241	gadEp4 // mdtEp3 // mdtEp2 // gadEp2 // mdtEp1	 // FliZ DNA-binding-site 9.5 bases downstream of gadEp2 // GadW DNA-binding-site 574.5 bases upstream of gadEp2 // GadX DNA-binding-site 29.5 bases upstream of gadEp3 // H-NS DNA-binding-site regulating gadEp2 // GadX DNA-binding-site 50.5 bases upstream of gadEp3 // GadW DNA-binding-site 595.5 bases upstream of gadEp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 19.5 bases upstream of gadEp2 // GadE DNA-binding-site 30.5 bases upstream of gadEp2 // GadE DNA-binding-site 63.5 bases upstream of gadEp2 // GadE DNA-binding-site 198.5 bases upstream of gadEp2 // EvgA-Pasp DNA-binding-site regulating gadEp2 // YdeO DNA-binding-site regulating gadEp2	 // ppGpp // DNA-binding transcriptional dual regulator GadX // DNA-binding transcriptional dual regulator GadW // DNA-binding transcriptional activator GadE // Phosphorylated DNA-binding transcriptional activator EvgA // DNA-binding transcriptional dual regulator YdeO // DNA-binding transcriptional regulator FliZ // DNA-binding transcriptional dual regulator H-NS // CRP-cAMP DNA-binding transcriptional dual regulator	RNA polymerase, sigma S (sigma 38) factor // RNA polymerase, sigma 70 (sigma D) factor // ppGpp // DNA-binding transcriptional dual regulator GadX // DNA-binding transcriptional dual regulator GadW // DNA-binding transcriptional activator GadE // Phosphorylated DNA-binding transcriptional activator EvgA // DNA-binding transcriptional dual regulator YdeO // DNA-binding transcriptional regulator FliZ // DNA-binding transcriptional dual regulator H-NS // CRP-cAMP DNA-binding transcriptional dual regulator	DNA-binding transcriptional regulator FliZ // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator GadX // DNA-binding transcriptional dual regulator GadW // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional activator GadE // Phosphorylated DNA-binding transcriptional activator EvgA // DNA-binding transcriptional dual regulator YdeO
sgrR	b0069	75644	77299	sgrR-sroA-thiBPQ	EG12094	sgrRp	SgrR DNA-binding-site 53.5 bases upstream of sgrSp2	ppGpp // RNA polymerase-binding transcription factor DksA // DNA-binding transcriptional dual regulator SgrR	RNA polymerase, sigma 70 (sigma D) factor // ppGpp // RNA polymerase-binding transcription factor DksA // DNA-binding transcriptional dual regulator SgrR	DNA-binding transcriptional dual regulator SgrR
cueR	b0487	513993	514400	cueR	G6263					
yegH	b2063	2137902	2139485	yegH	G7108	yegHp	PhoB-Pasp53 DNA-binding-site regulating yegHp	Phosphorylated DNA-binding transcriptional dual regulator PhoB	Phosphorylated DNA-binding transcriptional dual regulator PhoB // DNA-binding transcriptional dual regulator Nac	Phosphorylated DNA-binding transcriptional dual regulator PhoB
ybiX	b0804	838530	839207	ybiX	G6413					
sxy	b0959	1021138	1021767	yccR	G6494	sxyp	CRP-Sxy DNA-binding-site 81.5 bases upstream of sxyp	DNA-binding transcriptional  repressor CRP-Sxy	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional  repressor CRP-Sxy	DNA-binding transcriptional  repressor CRP-Sxy
astB	b1745	1826916	1828259	astCADBE // astCADBE // astCADBE	G6941	astCp3 // astCp2 // astCp1	 // NtrC-Pasp DNA-binding-site 233 bases upstream of astCp2 // NtrC-Pasp DNA-binding-site 253 bases upstream of astCp2 // NtrC-Pasp DNA-binding-site 275 bases upstream of astCp2 // ArgR-arg DNA-binding-site 47.5 bases upstream of astCp2 // ArgR-arg DNA-binding-site 78.5 bases upstream of astCp2 // ArgR-arg DNA-binding-site 99.5 bases upstream of astCp2 // ArgR-arg DNA-binding-site 121.5 bases upstream of astCp2	 // NtrC-Phosphorylated DNA-binding transcriptional dual regulator // ArgR-L-arginine DNA-binding transcriptional dual regulator	ArgR-L-arginine DNA-binding transcriptional dual regulator // NtrC-Phosphorylated DNA-binding transcriptional dual regulator // RNA polymerase, sigma S (sigma 38) factor // RNA polymerase, sigma 54 (sigma N) factor // RNA polymerase, sigma 70 (sigma D) factor	NtrC-Phosphorylated DNA-binding transcriptional dual regulator // ArgR-L-arginine DNA-binding transcriptional dual regulator
ttdR	b3060	3205324	3206256	ttdR	EG12694	ttdRp	DNA-binding transcriptional activator Dan DNA-binding-site regulating ttdRp	Dan-L-tartrate DNA-binding transcriptional activator	Dan-L-tartrate DNA-binding transcriptional activator // DNA-binding transcriptional repressor GlaR	Dan-L-tartrate DNA-binding transcriptional activator
yahG	b0321	338325	339743	yahDEFG	G6186					
insL3	b2394	2514331	2515443	insL3	G7255					
amtB	b0451	472966	474252	glnK-amtB	EG11821	glnKp	DNA-binding transcriptional dual regulator Fur DNA-binding-site regulating glnKp // Fnr DNA-binding-site regulating glnKp // NtrC-Pasp DNA-binding-site 87 bases upstream of glnKp // GadX DNA-binding-site regulating glnKp	Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // NtrC-Phosphorylated DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator GadX	RNA polymerase, sigma 54 (sigma N) factor // NtrC-Phosphorylated DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator GadX // Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR	Fur-Fe<SUP>2+</SUP> DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator FNR // NtrC-Phosphorylated DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator GadX
flgE	b1076	1132574	1133782	flgBCDEFGHIJ	G361	flgBp	FlhDC DNA-binding-site 41.5 bases upstream of flgBp // FlhDC DNA-binding-site 67.5 bases upstream of flgBp	FlhDC DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // FlhDC DNA-binding transcriptional dual regulator	FlhDC DNA-binding transcriptional dual regulator
gadX	b3516	3664986	3665810	gadAX // gadXW // gadAX // gadX	EG12243	gadAp2 // gadXp // gadAp	ArcA-Pasp54 DNA-binding-site regulating gadAp2 // GadRcs DNA-binding-site 62.5 bases upstream of gadAp2 // GadX DNA-binding-site 100.5 bases upstream of gadAp2 // GadX DNA-binding-site 78 bases upstream of gadAp2 // GadX DNA-binding-site 57.5 bases upstream of gadAp2 // GadX DNA-binding-site 10.5 bases upstream of gadAp2 // Fnr DNA-binding-site 11.5 bases downstream of gadAp2 // CRP-cAMP DNA-binding transcriptional dual regulator DNA-binding-site 62.5 bases upstream of gadAp2 // TorR-Pasp DNA-binding-site 73.5 bases downstream of gadAp2 // H-NS DNA-binding-site regulating gadAp2 // Fis DNA-binding-site 147 bases upstream of gadAp2 // Fis DNA-binding-site 118 bases upstream of gadAp2 // Fis DNA-binding-site 94 bases upstream of gadAp2 // Fis DNA-binding-site 18 bases upstream of gadAp2 // Pasp56 RcsB DNA-binding-site 18.5 bases upstream of gadAp2 // AdiY DNA-binding-site regulating gadAp2 // GadX DNA-binding-site 121.5 bases upstream of gadAp2 // GadX DNA-binding-site 31.5 bases upstream of gadAp2 // GadW DNA-binding-site 121.5 bases upstream of gadAp2 // GadW DNA-binding-site 100.5 bases upstream of gadAp2 // GadW DNA-binding-site 78 bases upstream of gadAp2 // GadW DNA-binding-site 57.5 bases upstream of gadAp2 // TorR-Pasp DNA-binding-site 122.5 bases upstream of gadAp2 // PhoB-Pasp53 DNA-binding-site regulating gadXp // GadX DNA-binding-site regulating gadXp // RutR DNA-binding-site 824.5 bases upstream of gadXp // GadW DNA-binding-site regulating gadXp // H-NS DNA-binding-site regulating gadXp // Fnr DNA-binding-site 159.5 bases upstream of gadXp // GadE DNA-binding-site regulating gadXp	Phosphorylated DNA-binding transcriptional dual regulator ArcA // GadE-RcsB DNA-binding transcriptional activator // DNA-binding transcriptional activator AdiY // DNA-binding transcriptional dual regulator GadX // DNA-binding transcriptional dual regulator GadW // ppGpp // DNA-binding transcriptional dual regulator FNR // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator Fis // P<SUP>asp56</SUP> RcsB // TorR-Phosphorylated DNA-binding transcriptional dual regulator // small regulatory RNA GadY // Phosphorylated DNA-binding transcriptional dual regulator PhoB // DNA-binding transcriptional activator GadE // DNA-binding transcriptional dual regulator RutR	RNA polymerase, sigma S (sigma 38) factor // RNA polymerase, sigma 70 (sigma D) factor // ppGpp // DNA-binding transcriptional activator AdiY // GadE-RcsB DNA-binding transcriptional activator // Phosphorylated DNA-binding transcriptional dual regulator ArcA // small regulatory RNA GadY // Phosphorylated DNA-binding transcriptional dual regulator PhoB // DNA-binding transcriptional dual regulator GadX // DNA-binding transcriptional activator GadE // DNA-binding transcriptional repressor GlaR // P<SUP>asp56</SUP> RcsB // DNA-binding transcriptional dual regulator Fis // TorR-Phosphorylated DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator RutR // DNA-binding transcriptional dual regulator GadW // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional activator AdiY // P<SUP>asp56</SUP> RcsB // DNA-binding transcriptional dual regulator Fis // TorR-Phosphorylated DNA-binding transcriptional dual regulator // CRP-cAMP DNA-binding transcriptional dual regulator // GadE-RcsB DNA-binding transcriptional activator // Phosphorylated DNA-binding transcriptional dual regulator ArcA // Phosphorylated DNA-binding transcriptional dual regulator PhoB // DNA-binding transcriptional dual regulator GadX // DNA-binding transcriptional dual regulator RutR // DNA-binding transcriptional dual regulator GadW // DNA-binding transcriptional dual regulator H-NS // DNA-binding transcriptional dual regulator FNR // DNA-binding transcriptional activator GadE
ybbY	b0513	540565	541866	ybbY-glxK // gcl-hyi-glxR-ybbVW-allB-ybbY-glxK	G6282	ybbYp // gclp	 // AllR-allantoin DNA-binding-site 20 bases upstream of gclp	 // AllR-allantoin	RNA polymerase, sigma 70 (sigma D) factor // AllR-allantoin	AllR-allantoin
yoeI	b4678	2087052	2087114		G0-10643					
fliD	b1924	2003872	2005278	fliDST // fliDST	EG10841	fliDp1 // fliDp2	 // FlhDC DNA-binding-site 41 bases upstream of fliDp2 // FlhDC DNA-binding-site 69 bases upstream of fliDp2	 // FlhDC DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // RNA polymerase, sigma 28 (sigma F) factor // FlhDC DNA-binding transcriptional dual regulator // DNA-binding transcriptional dual regulator Nac	FlhDC DNA-binding transcriptional dual regulator
eutM	b2457	2572157	2572450	eutSPQTDM	G7287		NagC DNA-binding-site regulating eutSPQTDM		DNA-binding transcriptional dual regulator NagC	DNA-binding transcriptional dual regulator NagC
zntR	b3292	3438705	3439130	yhdN-zntR	EG11969	yhdNp			RNA polymerase, sigma 32 (sigma H) factor // DNA-binding transcriptional dual regulator Lrp	
yecE	b1868	1951395	1952213	yecDE	EG12379				DNA-binding transcriptional dual regulator Nac	
insE4	b1027	1095138	1095437	insE4F4EF4	G6534					
gdx	b4148	4376875	4377192	sugE	EG11616	sugEp		guanidinium	guanidinium	
flgB	b1073	1131018	1131434	flgBCDEFGHIJ	G358	flgBp	FlhDC DNA-binding-site 41.5 bases upstream of flgBp // FlhDC DNA-binding-site 67.5 bases upstream of flgBp	FlhDC DNA-binding transcriptional dual regulator	RNA polymerase, sigma 70 (sigma D) factor // FlhDC DNA-binding transcriptional dual regulator	FlhDC DNA-binding transcriptional dual regulator
yidP	b3684	3863899	3864615	yidP	EG11711					
atoE	b2223	2324756	2326078	atoDAEB	EG11671	atoDp	IHF DNA-binding-site 57 bases upstream of atoDp // IHF DNA-binding-site 32 bases upstream of atoDp // AtoC-P DNA-binding-site 119.5 bases upstream of atoDp // AtoC-P DNA-binding-site 138.5 bases upstream of atoDp	DNA-binding transcriptional dual regulator IHF // phosphorylated DNA-binding transcriptional activator AtoC	RNA polymerase, sigma 54 (sigma N) factor // DNA-binding transcriptional dual regulator IHF // phosphorylated DNA-binding transcriptional activator AtoC	DNA-binding transcriptional dual regulator IHF // phosphorylated DNA-binding transcriptional activator AtoC
yhjG	b3524	3676290	3678350	yhjG	EG12251	yhjGp			RNA polymerase, sigma S (sigma 38) factor	
fliL	b1944	2019618	2020082	fliLMNOPQR // fliLMNOPQR	EG10322	fliLp2 // fliLp1	 // FlhDC DNA-binding-site 37 bases upstream of fliLp1 // FlhDC DNA-binding-site 65 bases upstream of fliLp1	 // FlhDC DNA-binding transcriptional dual regulator	FlhDC DNA-binding transcriptional dual regulator // RNA polymerase, sigma 28 (sigma F) factor // RNA polymerase, sigma 70 (sigma D) factor	FlhDC DNA-binding transcriptional dual regulator
bcsC	b3530	3685700	3689173	bcsABZC	EG12257					
cynR	b0338	357791	358690	cynR	EG11421	cynRp	CynR DNA-binding-site 6 bases downstream of cynRp // CynR DNA-binding-site 33 bases upstream of cynRp	DNA-binding transcriptional dual regulator CynR	RNA polymerase, sigma 70 (sigma D) factor // DNA-binding transcriptional dual regulator CynR // DNA-binding transcriptional dual regulator Nac	DNA-binding transcriptional dual regulator CynR
yjbR	b4057	4270658	4271014	yjbQR	EG11936	yjbQp	GadE DNA-binding-site 40 bases upstream of yjbQp	DNA-binding transcriptional activator GadE	DNA-binding transcriptional activator GadE // DNA-binding transcriptional dual regulator Lrp	DNA-binding transcriptional activator GadE
insE1	b0298	315291	315590	eaeH-insE1EF1F1	G6168					
